"";"logFC";"logCPM";"PValue";"FDR"
"Usp18";1,49464307626742;4,24285652401694;9,32190754747406e-07;0,00390628356281289
"Akr1c13";-1,42589907888289;2,93691234038404;1,07664095053717e-06;0,00390628356281289
"Tnf";-1,08505391198289;6,15152169863569;1,64681750027604e-06;0,00390628356281289
"Cd52";-0,991458586769255;9,02388014890363;2,14217597876615e-06;0,00390628356281289
"Rnu6";-0,920400162739091;5,61118182909968;2,24112654206132e-06;0,00390628356281289
"Ccl4";-1,20488365574908;4,72255497012751;1,60941154752472e-05;0,0233767027277966
"Rn4.5s";-0,903556051937802;8,15456821981804;1,94305615484235e-05;0,0241910491277873
"Deb1";-1,08135408483367;2,75967924273001;2,23253043981614e-05;0,024320628478747
"Snord49a";-1,11947855747049;2,71191578425773;2,76257862086821e-05;0,0267509696454072
"3110082I17Rik";-0,815963856396043;4,39446983324562;4,6565258739578e-05;0,0396877767919733
"2610019E17Rik";-0,927930007931235;3,33458581193212;5,00935794276197e-05;0,0396877767919733
"Zfp457";-1,26651171135627;4,52627767984892;5,80638473651611e-05;0,0421688691489482
"Naa38";-0,72953935389524;5,47518361816871;7,254296786687e-05;0,0486316896122901
"Mctp2";1,23890369285137;3,8313250060831;8,45725179856535e-05;0,0526463924460693
"Tmem8b";-0,795389165694926;5,71638560731271;9,38187980288634e-05;0,0545087216547696
"Ap3s1";-0,664394393386529;5,45584592022869;0,000107162465991619;0,05837005569481
"Xaf1";-0,919293672754432;3,62036773095518;0,000121095690491272;0,0615900840661391
"Loxl2";-0,933505307828348;4,13651801798647;0,00012720843524848;0,0615900840661391
"Gm4841";-0,97900244995207;6,89317305791945;0,000177145951051818;0,0715049629481801
"Hist1h2bp";-0,995399268274255;3,51495267712188;0,000178102129025754;0,0715049629481801
"Tmem69";-0,747090905628662;5,5673291649902;0,000184427062895122;0,0715049629481801
"Arl4c";1,00159998985355;3,90543089574591;0,000189274245804236;0,0715049629481801
"Pde4d";0,813725507619739;4,61080380512573;0,000195458928892522;0,0715049629481801
"Snord16a";-1,00242269879339;3,62524619463203;0,000199906913411288;0,0715049629481801
"Slc7a14";-0,843537096077732;4,58990138001882;0,000205120375640218;0,0715049629481801
"Atp2b4";1,38670352964501;5,88237746908138;0,000222529293844999;0,074590107533045
"Rmrp";-0,83549999300398;12,222092363937;0,000237310877694103;0,0765986777445966
"Rnu1b6";-0,848916840004269;8,76225525413973;0,000253373973215519;0,0784000257199729
"Eny2";-0,715335254563275;6,43861782411088;0,000260883619722228;0,0784000257199729
"Ccl3";-1,10476886338817;6,40647832973797;0,000276825717780014;0,080417871015094
"Rnu11";-1,00862254953426;2,25857133373883;0,000295389685787898;0,0830426165045654
"Tacr1";-1,27466798932659;2,66956998663313;0,000311634965339896;0,0848718350917874
"Gm6455";-1,35936565528892;1,92599405676293;0,000326412051968425;0,0862024555425704
"1810022K09Rik";-0,738533172987282;8,27090246270749;0,00035623916123566;0,091312479122611
"LOC100504298";-1,85473820245313;2,19019480289266;0,000382573727314554;0,0952608581013239
"Lsm3";-0,699731916839712;7,74675321292264;0,000398787409517457;0,096539785387351
"LOC100503984";-0,669798208915787;5,52354358873814;0,000425623578017545;0,0994460818938886
"Tjp2";-1,04571413278436;2,76925841387942;0,000463608273222988;0,0994460818938886
"Snrpg";-0,674145362053316;7,2456773208375;0,000471082556950163;0,0994460818938886
"Mphosph6";-0,683361866438969;5,82907403052636;0,000492816731371052;0,0994460818938886
"Dpcr1";-1,26721626367987;1,82441426701642;0,000494446216639966;0,0994460818938886
"Gtf2h2";-0,647860306895246;4,73370613241465;0,000494698698201309;0,0994460818938886
