"";"logFC";"logCPM";"PValue";"FDR"
"Usp18";1,48125784872643;4,28077071099827;1,5722340049252e-06;0,00573699004142794
"Akr1c13";-1,37176375727608;2,9591274647929;2,03827620083826e-06;0,00573699004142794
"Cd52";-0,980616981757685;9,00110811444381;2,69754551270576e-06;0,00573699004142794
"Rnu6";-0,905985050242922;5,58886175979231;3,11795359482559e-06;0,00573699004142794
"Tnf";-1,05755376741793;6,15013755640293;3,22592782356497e-06;0,00573699004142794
"Snord83b";-0,932645757607191;3,69540097960224;9,35004162215599e-06;0,0138567616840352
"Ccl4";-1,18710604751995;4,71955786851917;1,33807447489818e-05;0,0169973689011352
"Rn4.5s";-0,893512460011899;8,12819669385351;2,08347805699288e-05;0,0231578586034759
"3110082I17Rik";-0,818934854564553;4,45615996614644;2,85681164530417e-05;0,027555627848997
"Deb1";-0,974315185349552;3,04889058925674;3,09892350978374e-05;0,027555627848997
"Mctp2";1,21390382868056;3,96540460293574;5,68165795989456e-05;0,0455979528278389
"Zfp457";-1,24924592158457;4,50256295569321;6,15356988229945e-05;0,0455979528278389
"Snord49a";-0,965286386315069;3,06742219828979;6,69840380590199e-05;0,0458170820323696
"Tmem8b";-0,785374637584249;5,69113923253565;9,89485855391086e-05;0,0599937087554826
"Tjp2";-1,11717095521742;2,83169222250138;0,000101203962138128;0,0599937087554826
"2610019E17Rik";-0,860602458056589;3,41578270270392;0,000113740859178915;0,0632114824886821
"Eny2";-0,737176782571138;6,68799763083574;0,000132264487740845;0,067528403005214
"Loxl2";-0,93126994710624;4,1153897271438;0,000147201788875813;0,067528403005214
"Naa38";-0,701578438529241;5,5257621718743;0,000161131678935493;0,067528403005214
"Hist1h2bp";-1,0054553819434;3,52513842615529;0,000163669212564963;0,067528403005214
"Xaf1";-0,896591056361913;3,61367650810535;0,000170205136279747;0,067528403005214
"Arl4c";1,00411029044593;3,88713866476929;0,000173723016281094;0,067528403005214
"Gm4841";-0,966420471345141;6,86515270418742;0,000174668608762924;0,067528403005214
"Ccl3";-1,1069916093;6,39562506561495;0,000212265210895727;0,0761001921526946
"Ap3s1";-0,641743362856922;5,45854615306606;0,000214419191316573;0,0761001921526946
"Slc7a14";-0,831127953326282;4,56680019422396;0,000222515181733025;0,0761001921526946
"Tmem69";-0,731182566071373;5,56692038916969;0,000235614803307852;0,0775958085560525
"Rmrp";-0,826165322380789;12,196743677829;0,000268956935540399;0,0823258403005285
"Tacr1";-1,28451884559557;2,65705016913027;0,000288706935805351;0,0823258403005285
"Rnu1b6";-0,839642819677042;8,73675687682243;0,000295782918895251;0,0823258403005285
"Dpcr1";-1,30639228434658;1,83135112061557;0,000299495883316715;0,0823258403005285
"Atp2b4";1,37820796789212;5,94369743959319;0,000303637482095567;0,0823258403005285
"Gpr83";-1,20620202468802;2,22729170913092;0,000305527747404121;0,0823258403005285
"Gm6455";-1,34746615013178;1,89961674858295;0,000341815249316098;0,0869039977384785
"A230072C01Rik";-1,50771802779875;1,64072587746413;0,000354223616503726;0,0869039977384785
"Gtf2h2";-0,640165238495816;4,93232121513758;0,00036104455040942;0,0869039977384785
"9430038I01Rik";-0,91054401470439;2,83142354909933;0,000361611326622099;0,0869039977384785
"LOC100504298";-1,8381891964145;2,16137145640705;0,000404186562171549;0,0945796555481424
"Hist1h4j";-0,699498992434741;5,26084444680608;0,000419678730358876;0,0946505462910544
"Angptl2";-1,6176378528815;2,749754130311;0,000429331559490367;0,0946505462910544
"1810022K09Rik";-0,727477167610165;8,27391152502528;0,000436422896753625;0,0946505462910544
"Lsm3";-0,689852658221327;7,79644450149944;0,000465708908953661;0,0985972290099037
